Technician_ID,Technician_Name,Region,Status
T001,Technician 1,North,Active
T002,Technician 2,South,Active
T003,Technician 3,West,Active
T004,Technician 4,Central,Inactive
T005,Technician 5,North,Active
T006,Technician 6,North,Active
T007,Technician 7,Central,Active
T008,Technician 8,Central,Active
T009,Technician 9,Central,Inactive
T010,Technician 10,South,Active
T011,Technician 11,Central,Inactive
T012,Technician 12,North,Active
T013,Technician 13,North,active
T014,Technician 14,Central,Active
T015,Technician 15,West,Inactive
T016,Technician 16,South,Active
T017,Technician 17,West,Active
T018,Technician 18,South,Active
T019,Technician 19,South,Active
T020,Technician 20,Central,Active
T021,Technician 21,,Inactive
T022,Technician 22,South,Active
T023,Technician 23,South,Active
T024,Technician 24,North,Active
T025,Technician 25,Central,Inactive
T026,Technician 26,Central,Active
T027,Technician 27,West,Active
T028,Technician 28,West,Active
T029,Technician 29,North,Active
T030,Technician 30,South,Active
T031,Technician 31,West,Active
T032,Technician 32,West,Active
T033,Technician 33,South,Active
T034,Technician 34,South,Active
T035,Technician 35,North,Active
T036,Technician 36,West,Inactive
T037,Technician 37,North,Active
T038,Technician 38,North,Inactive
T039,Technician 39,South,Active
T040,Technician 40,West,Inactive
T041,Technician 41,North,Active
T042,Technician 42,North,Active
T043,Technician 43,South,Inactive
T044,Technician 44,South,Active
T045,Technician 45,North,Inactive
T046,Technician 46,South,Active
T047,Technician 47,South,Active
T048,Technician 48,South,Inactive
T049,Technician 49,South,Active
T050,Technician 50,North,Inactive
T051,Technician 51,South,Active
T052,Technician 52,South,Inactive
T053,Technician 53,North,Active
T054,Technician 54,South,Inactive
T055,Technician 55,West,Active
T056,Technician 56,Central,Active
T057,Technician 57,West,Active
T058,Technician 58,North,Inactive
T059,Technician 59,South,Active
T060,Technician 60,West,Inactive
T061,Technician 61,West,Inactive
T062,Technician 62,Central,Active
T063,Technician 63,South,Active
T064,Technician 64,South,Inactive
T065,Technician 65,North,Active
T066,Technician 66,West,Active
T067,Technician 67,North,Inactive
T068,Technician 68,South,Inactive
T069,Technician 69,North,Active
T070,Technician 70,West,Inactive
T071,Technician 71,Central,Active
T072,Technician 72,West,Active
T073,Technician 73,North,Active
T074,Technician 74,North,Active
T075,Technician 75,South,Active
T076,Technician 76,West,Active
T077,Technician 77,South,Active
T078,Technician 78,Central,Inactive
T079,Technician 79,Central,Active
T080,Technician 80,Central,Inactive
T081,Technician 81,West,Inactive
T082,Technician 82,North,Active
T083,Technician 83,West,Active
T084,Technician 84,North,Inactive
T085,Technician 85,South,Active
T086,Technician 86,North,Active
T087,Technician 87,North,Inactive
T088,Technician 88,Central,Active
T089,Technician 89,South,Inactive
T090,Technician 90,South,Active
T091,Technician 91,North,Inactive
T092,Technician 92,West,Active
T093,Technician 93,West,Active
T094,Technician 94,North,Active
T095,Technician 95,Central,Active
T096,Technician 96,North,Active
T097,Technician 97,Central,Inactive
T098,Technician 98,West,Active
T099,Technician 99,South,Inactive
T100,Technician 100,North,Active
